# You can find the dataset in the paper titled "NSGAN: A Non-dominated Sorting Optimization-based Generative Adversarial Design Framework for Alloy Discovery." And for your convenience in reviewing, we have pasted the entire contents of the dataset below.
 \,Processing,Ag,Al,B,Be,Bi,Cd,Co,Cr,Cu,Er,Eu,Fe,Ga,Li,Mg,Mn,Ni,Pb,Sc,Si,Sn,Ti,V,Zn,Zr,Elongation (%),Tensile Strength (MPa),Yield Strength (MPa),class
132,Strain Harderned (Hard),0,0.999714,0,0,0,0,0,0,6.00E-05,0,0,6.00E-05,0,0,6.00E-05,2.00E-05,0,0,0,6.00E-05,0,2.00E-05,0,6.00E-06,0,5,115,,5
133,Strain Harderned (Hard),0,0.9988,0,0,0,0,0,0,0.0012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,165,150,5
134,Strain Harderned (Hard),0,0.998,0,0,0,0,0,0,0.0005,0,0,0.0001,0,0,0,0,0,0,0,0.001,0,0.0004,0,0,0,5,124.105626,117.210869,5
135,Strain Harderned (Hard),0,0.99769954,0,0,0,0,0,0,0.00015003,0,0,0.00075015,0.00015003,0,0,0.00010002,0,0,0,0.00075015,0,0.00015003,0.00025005,0,0,5,138,50.5,5
136,Strain Harderned (Hard),0,0.996,0,0,0,0,0,0,0,0,0,0.003,0,0,0,0,0,0,0,0.001,0,0,0,0,0,6,131.000383,124.105626,5
137,Strain Harderned (Hard),0,0.995,0,0,0,0,0,0,0.0005,0,0,0.0002,0,0,0.0003,0.0003,0,0,0,0.0002,0,0.0002,0.003,0.0003,0,5,144.789897,117.210869,5
138,Strain Harderned (Hard),0,0.9922,0,0,0,0,0,0,0.0005,0,0,0,0,0,0.0005,0.0005,0,0,0,0.0055,0,0.0003,0,0.0005,0,5,145,,5
139,Strain Harderned (Hard),0,0.992,0,0,0,0,0,0,0.0002,0,0,0.0002,0,0,0,0.0002,0,0,0,0.007,0,0.0002,0,0.0002,0,5,165.474168,151.684654,5
140,Strain Harderned (Hard),0,0.992,0,0,0,0,0,0,0,0,0,0,0,0,0.008,0,0,0,0,0,0,0,0,0,0,4,199.947953,193.053196,5
141,Strain Harderned (Hard),0,0.992,0,0,0,0,0,0,0,0,0,0,0,0,0.008,0,0,0,0,0,0,0,0,0,0,4,200,195,5
142,Strain Harderned (Hard),0,0.989,0,0,0,0,0,0,0,0,0,0,0,0,0.005,0.006,0,0,0,0,0,0,0,0,0,3,215,195,5
143,Strain Harderned (Hard),0,0.988,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012,0,0,0,0,0,0,0,0,0,4,199.947953,186.158439,5
144,Strain Harderned (Hard),0,0.98725,0,0,0,0,0,0,0.00125,0,0,0,0,0,0,0.0005,0,0,0,0.01,0,0,0,0.001,0,5,165,,5
145,Strain Harderned (Hard),0,0.9868,0,0,0,0,0,0,0.0012,0,0,0,0,0,0,0.012,0,0,0,0,0,0,0,0,0,4,200,185,5
146,Strain Harderned (Hard),0,0.9845,0,0,0,0,0,0,0,0,0,0,0,0,0.0035,0.012,0,0,0,0,0,0,0,0,0,4,241.316495,227.526981,5
147,Strain Harderned (Hard),0,0.9836,0,0,0,0,0,0.0005,0.0015,0,0,0.00575,0,0,0,0,0.00695,0,0,0.0017,0,0,0,0,0,4,200,,5
148,Strain Harderned (Hard),0,0.983,0,0,0,0,0,0,0,0,0,0.006,0,0,0,0,0.011,0,0,0,0,0,0,0,0,4,199.947953,186.158439,5
149,Strain Harderned (Hard),0,0.983,0,0,0,0,0,0,0,0,0,0.006,0,0,0,0.011,0,0,0,0,0,0,0,0,0,,250,230,5
